'cl_Colectas_copy1_IdColectas','cl_Personas_Recolectar','cl_Fecha_Inicio','cl_Fecha_Corte','cl_Fecha_Tratamiento','cl_Fecha_Embalaje','cl_Fecha_Extraccion','cl_Tipo_Extraccion','cl_Fecha_Carga_Envio','cl_Tipo_vehiculo','cl_Fecha_Llegada','cl_Fecha_Descarga','cl_Observaciones','cl_Nombre_Responsable_Tecnico','cl_Nombre_Responsable_operativo'
5373,2,,,,'2021-11-05','2021-11-05','Manual','2021-11-05','Camioneta 3 ton','2021-11-06','2021-11-06',,'Geovanni Mtz',
5374,2,,,,'2021-11-05','2021-11-05','Manual','2021-11-05','Camioneta 3 ton','2021-11-06','2021-11-06',,'Geovanni Mtz',
5375,2,,,,'2021-11-05','2021-11-05','Manual','2021-11-05','Camioneta 3 ton','2021-11-06','2021-11-06',,'Geovanni Mtz',
5376,1,,,,'2021-11-05','2021-11-05','Manual','2021-11-05','Camioneta 3 ton','2021-11-06','2021-11-06',,'Geovanni Mtz',
5377,2,,,,'2021-11-05','2021-11-05','Manual','2021-11-05','Camioneta 3 ton','2021-11-06','2021-11-06',,'Geovanni Mtz',
5378,2,,,,'2021-11-05','2021-11-05','Manual','2021-11-05','Camioneta 3 ton','2021-11-06','2021-11-06','Planta viene acompañada de piedra','Geovanni Mtz',
5379,2,,,,'2021-10-08','2021-10-08','Manual','2021-10-08','Camioneta 3/4','2021-10-09','2021-10-09',,'Geovanni Mtz',
5380,2,,,,'2021-11-25','2021-11-25','Manual','2021-11-25','Torton','2021-11-27','2021-11-27',,'Geovanni Mtz',
5479,,,,,,,,,,,,,,
5503,2,,,,'2021-11-25','2021-11-25','Manual','2021-11-25','Torton','2021-11-27','2021-11-27',,'Geovanni Mtz',
5510,2,,,,'2021-11-25','2021-11-25','Manual','2021-11-25','Torton','2021-11-27','2021-11-27',,'Geovanni Mtz',
5511,2,,,,'2021-11-25','2021-11-25','Manual','2021-11-25','Torton','2021-11-27','2021-11-27','Sobre rocas grandes con abundante materia orgánica','Geovanni Mtz',
5519,2,,,,'2021-11-25','2021-11-25','Manual','2021-11-25','Torton','2021-11-27','2021-11-27','Sobre rocas grandes con abundante materia orgánica','Geovanni Mtz',
5520,2,,,,'2021-11-25','2021-11-25','Manual','2021-11-25','Torton','2021-11-27','2021-11-27',,'Geovanni Mtz',
5521,1,,,,'2021-11-25','2021-11-25','Manual','2021-11-25','Torton','2021-11-27','2021-11-27','Sobre rocas grandes con abundante materia orgánica','Geovanni Mtz',
5522,2,,,,'2021-11-25','2021-11-25','Manual','2021-11-25','Torton','2021-11-27','2021-11-27','Rescatada sobre rama caida','Geovanni Mtz',
5523,1,,,,'2021-11-25','2021-11-25','Manual','2021-11-25','Torton','2021-11-27','2021-11-27','Sobre rocas grandes con abundante materia orgánica','Geovanni Mtz',
5524,2,,,,'2021-11-25','2021-11-25','Manual','2021-11-25','Torton','2021-11-27','2021-11-27',,'Geovanni Mtz',
5525,2,,,,'2021-11-25','2021-11-25','Manual','2021-11-25','Torton','2021-11-27','2021-11-27',,'Geovanni Mtz',
5526,2,,,,'2021-11-25','2021-11-25','Manual','2021-11-25','Torton','2021-11-27','2021-11-27',,'Geovanni Mtz',
5527,2,,,,'2021-11-25','2021-11-25','Manual','2021-11-25','Torton','2021-11-27','2021-11-27',,'Geovanni Mtz',
5528,2,,,,'2021-11-25','2021-11-25','Manual','2021-11-25','Torton','2021-11-27','2021-11-27',,'Geovanni Mtz',
5529,4,,,,'2021-11-26','2021-11-26','Manual','2021-11-26','Torton','2021-11-27','2021-11-27',,'Geovanni Mtz',
5530,2,,,,'2021-07-09','2021-07-09','Manual','2021-07-09','Camioneta Mitsubishi 3/4','2021-07-10','2021-07-10',,'Geovanni Mtz',
5531,1,,,,'2021-10-01','2021-10-01','Manual','2021-10-01','Camioneta 3 Ton','2021-10-02','2021-10-02',,'Geovanni Mtz',
5532,2,,,,'2022-05-14','2022-05-14','Manual','2022-05-14','Camioneta Mitsubishi',,,,'Geovanni Mtz',
5533,1,,,,'2021-11-09','2021-11-09','Tijera extensión','2021-11-09','Camioneta 3 Ton','2021-11-13','2021-11-13',,'Geovanni Mtz',
5534,3,,,,'2021-11-09','2021-11-09','Tijera extensión',,'Camioneta 3 Ton','2021-11-13','2021-11-13',,'Geovanni Mtz',
5535,2,,,,'2021-11-10','2021-11-10','Manual','2021-11-10','Camioneta 3 Ton','2021-11-13','2021-11-13',,'Geovanni Mtz',
5536,2,,,,'2021-11-10','2021-11-10','Manual','2021-11-10','Camioneta 3 Ton','2021-11-13','2021-11-13',,'Geovanni Mtz',
5537,2,,,,'2021-11-10','2021-11-10','Manual/extensión','2021-11-10','Camioneta 3 Ton','2021-11-13','2021-11-13',,'Geovanni Mtz',
5538,2,,,,'2021-11-10','2021-11-10','Manual','2021-11-10','Camioneta 3 Ton','2021-11-13','2021-11-13',,'Geovanni Mtz',
5539,2,,,,'2021-11-10','2021-11-10','Manual','2021-11-10','Camioneta 3 Ton','2021-11-13','2021-11-13',,'Geovanni Mtz',
5540,2,,,,'2021-11-25','2021-11-25','Manual','2021-11-25','Torton','2021-11-27','2021-11-27',,'Geovanni Mtz',
5541,2,,,,'2021-11-25','2021-11-25','Manual','2021-11-25','Torton','2021-11-27','2021-11-27','Sobre rocas grandes con abundante materia orgánica','Geovanni Mtz',
5542,,,,,,,,,,,,'Sin observciones',,
5543,2,,,,'2021-08-05','2021-08-05','Manual','2021-08-05','Camioneta 3/4',,'2021-08-07',,'Geovanni Mtz',
5544,2,,,,'2021-08-05','2021-08-05','Manual','2021-08-05','Camioneta 3/4',,'2021-08-07',,'Geovanni Mtz',
5545,2,,,,'2021-08-05','2021-08-05','Manual','2021-08-05','Camioneta 3/4',,'2021-08-07',,'Geovanni Mtz',
5546,2,,,,'2021-08-06','2021-08-06','Manual','2021-08-06','Camioneta 3/4 Mitsubishi','2021-08-07','2021-08-07','Sobre roca','Geovanni Mtz',
5547,2,,,,'2021-08-06','2021-08-06','Manual','2021-08-06','Camioneta 3/4 Mitsubishi','2021-08-07','2021-08-07',,'Geovanni Mtz',
5548,1,,,,'2021-07-09','2021-07-09','Manual','2021-07-09','Camioneta',,'2021-07-10',,'Geovanni Mtz',
5549,1,,,,'2021-07-09','2021-07-09','Manual','2021-07-09','Camioneta','2021-07-10','2021-07-10',,'Geovanni Mtz',
5552,2,,,,'2021-07-09','2021-07-09','Manual','2021-07-09','Camioneta','2021-07-10','2021-07-10',,'Geovanni Mtz',
5553,2,,,,'2021-07-09','2021-07-09','Manual','2021-07-09','Camioneta','2021-07-10','2021-07-10',,'Geovanni Mtz',
5554,3,,,,'2021-07-09','2021-07-09','Manual','2021-07-09','Camioneta','2021-07-10','2021-07-10','Se colecto muestra y rama para ejemplar','Geovanni Mtz',
5558,2,,,,'2021-07-09','2021-07-09','Manual','2021-07-09','Camioneta Mitsubishi','2021-07-10','2021-07-10','Orquídea blanca','Geovanni Mtz','Vianney Hdz'
5559,2,,,,'2021-07-09','2021-07-09','Manual','2021-07-09','Camioneta Mitsubishi','2021-07-10','2021-07-10',,'Geovanni Mtz','Vianney Hdz'
5560,2,,,,'2021-07-09','2021-07-09','Manual','2021-07-09','Camioneta Mitsubishi','2021-07-10','2021-07-10',,'Geovanni Mtz','Vianney Hdz'
