"cl_IdColectas","cl_Numero_Clavo","cl_Letra","cl_Comentarios","cl_Recolector","cl_Fecha","cl_Datos_Etnobotanicos","cl_Plantas_idPlantas","cl_Nombre_Comun","cl_Genero","cl_Especie","cl_Familia","cl_protegida","cl_Numero_salida","cl_Caracteristica_Raiz","cl_Altura_planta","cl_DAP","cl_Diametro_Tronco","cl_Diametro_Raiz","cl_Cobertura","cl_Diametro_cepellon","cl_Altura_cepellon","cl_Estado","cl_Forma_Biologica","cl_Conformacion_cepellon","cl_Estado_Fenologico","cl_Ciclo_Vida","cl_Comentarios_de_registro","cl_Tipo_raiz","cl_Forma_Colecta","cl_Revision","cl_Link","cl_Usuarios_idUsuarios","cl_username","cl_active"
33,188,C,"","","1996-04-01","",13,Huizaco,Hechtia,glomerata,BROMELIACEAE,,,,,,,,,,,null,,,,,no trae día,,,,,3,AndresServicio,1
34,189,C,"","","1996-04-01","",13,Huizaco,Hechtia,glomerata,BROMELIACEAE,,,,,,,,,,,null,,,,,no trae día,,,,,3,AndresServicio,1
35,214,C,null,"","1997-02-01","",14,Siempre viva,Echeveria,sp.,CRASSULACEAE,,,,,,,,,,,Plantas sin determinación de especie. ,,,,,no trae día,,,,,3,AndresServicio,1
36,215,C,"","","1997-02-01","",14,Siempre viva,Echeveria,sp.,CRASSULACEAE,,,,,,,,,,,Plantas sin determinación de especie.,,,,,no trae día,,,,,3,AndresServicio,1
37,216,C,"","","1997-02-01","",14,Siempre viva,Echeveria,sp.,CRASSULACEAE,,,,,,,,,,,Plantas sin determinación de especie.,,,,,no trae día,,,,,3,AndresServicio,1
38,217,C,"","","1997-02-01","",14,Siempre viva,Echeveria,sp.,CRASSULACEAE,,,,,,,,,,,Plantas sin determinación de especie.,,,,,no trae día,,,,,3,AndresServicio,1
46,187,"","","","1800-01-01","",1,sin dato,"","","",,,,,,,,,,,Plantas ubicadas en el patio del huaje.,,,,,No trae datos,,,,,3,AndresServicio,1
47,218,C,Registrada muerta 11/06/2001,"","1997-02-01","",14,Siempre viva,Echeveria,sp.,CRASSULACEAE,,,,,,,,,,,Plantas muertas según los reportes de la SEMARNAT.,,,,,"no trae día, ni cordenadas,sitio de colecta,especie",,,,,1,Javier,1
51,219,C,"","","1997-02-01","",14,Siempre viva,Echeveria,sp.,CRASSULACEAE,,,,,,,,,,,Plantas sin determinación de especie.,,,,,no trae día ,,,,,3,AndresServicio,1
52,220,C,"","","1997-02-01","",14,Siempre viva,Echeveria,sp.,CRASSULACEAE,,,,,,,,,,,Plantas sin determinación de especie.,,,,,no trae día,,,,,3,AndresServicio,1
53,221,C,"","","1997-02-01","",14,Siempre viva,Echeveria,sp.,CRASSULACEAE,,,,,,,,,,,Plantas sin determinación de especie.,,,,,no trae día,,,,,3,AndresServicio,1
54,222,C,"","","1997-02-01","",14,Siempre viva,Echeveria,sp.,CRASSULACEAE,,,,,,,,,,,Plantas sin determinación de especie.,,,,,no trae día,,,,,3,AndresServicio,1
55,223,C,"","","1997-02-01","",14,Siempre viva,Echeveria,sp.,CRASSULACEAE,,,,,,,,,,,Plantas sin determinación de especie.,,,,,no trae día,,,,,3,AndresServicio,1
56,224,C,"","","1997-02-01","",14,Siempre viva,Echeveria,sp.,CRASSULACEAE,,,,,,,,,,,Plantas sin determinación de especie.,,,,,no trae día,,,,,3,AndresServicio,1
57,225,C,"","","1997-02-01","",14,Siempre viva,Echeveria,sp.,CRASSULACEAE,,,,,,,,,,,Plantas sin determinación de especie.,,,,,no trae día,,,,,3,AndresServicio,1
58,226,C,"","","1997-02-01","",14,Siempre viva,Echeveria,sp.,CRASSULACEAE,,,,,,,,,,,Plantas sin determinación de especie.,,,,,no trae día,,,,,3,AndresServicio,1
59,227,C,"","","1997-02-01","",15,Siempre viva,Sedum,praealtum,CRASSULACEAE,,,,,,,,,,,Plantas sin determinación de especie.,,,,,no trae día,,,,,3,AndresServicio,1
60,228,C,"","","1997-02-01","",15,Siempre viva,Sedum,praealtum,CRASSULACEAE,,,,,,,,,,,null,,,,,no trae día,,,,,3,AndresServicio,1
61,229,C,"","","1997-02-01","",15,Siempre viva,Sedum,praealtum,CRASSULACEAE,,,,,,,,,,,null,,,,,no trae día,,,,,3,AndresServicio,1
62,230,C,"","","1997-02-01","",14,Siempre viva,Echeveria,sp.,CRASSULACEAE,,,,,,,,,,,Plantas sin determinación de especie.,,,,,no trae día,,,,,3,AndresServicio,1
63,231,C,"","","1997-02-01","",14,Siempre viva,Echeveria,sp.,CRASSULACEAE,,,,,,,,,,,Plantas sin determinación de especie.,,,,,no trae día,,,,,3,AndresServicio,1
64,232,C,"","","1997-02-01","",14,Siempre viva,Echeveria,sp.,CRASSULACEAE,,,,,,,,,,,Plantas sin determinación de especie.,,,,,no trae día,,,,,3,AndresServicio,1
65,233,C,"","","1997-02-01","",14,Siempre viva,Echeveria,sp.,CRASSULACEAE,,,,,,,,,,,Plantas sin determinación de especie.,,,,,no trae día,,,,,3,AndresServicio,1
66,234,C,"","","1997-02-01","",14,Siempre viva,Echeveria,sp.,CRASSULACEAE,,,,,,,,,,,Plantas sin determinación de especie.,,,,,no trae día,,,,,3,AndresServicio,1
67,235,C,"","","1997-02-01","",14,Siempre viva,Echeveria,sp.,CRASSULACEAE,,,,,,,,,,,Plantas sin determinación de especie.,,,,,no trae día,,,,,3,AndresServicio,1
68,236,C,"","","1997-02-01","",14,Siempre viva,Echeveria,sp.,CRASSULACEAE,,,,,,,,,,,Plantas sin determinación de especie.,,,,,no trae día,,,,,3,AndresServicio,1
69,237,C,"","","1997-02-01","",14,Siempre viva,Echeveria,sp.,CRASSULACEAE,,,,,,,,,,,Plantas sin determinación de especie.,,,,,no trae día,,,,,3,AndresServicio,1
70,238,C,"","","1997-02-01","",14,Siempre viva,Echeveria,sp.,CRASSULACEAE,,,,,,,,,,,Plantas sin determinación de especie.,,,,,no trae día,,,,,3,AndresServicio,1
71,239,C,"","","1997-02-01","",14,Siempre viva,Echeveria,sp.,CRASSULACEAE,,,,,,,,,,,Plantas sin determinación de especie.,,,,,no trae día,,,,,3,AndresServicio,1
72,240,C,"","","1997-02-01","",14,Siempre viva,Echeveria,sp.,CRASSULACEAE,,,,,,,,,,,Plantas sin determinación de especie.,,,,,no trae día,,,,,3,AndresServicio,1
73,241,C,"","","1997-02-01","",14,Siempre viva,Echeveria,sp.,CRASSULACEAE,,,,,,,,,,,Plantas sin determinación de especie.,,,,,no trae día,,,,,3,AndresServicio,1
74,242,C,"","","1997-02-01","",14,Siempre viva,Echeveria,sp.,CRASSULACEAE,,,,,,,,,,,Plantas sin determinación de especie.,,,,,no trae día,,,,,3,AndresServicio,1
75,243,C,"","","1996-04-01","",17,Consuelda,Pittocaulon,praecox,ASTERACEAE,,,,,,,,,,,null,,,,,no trae día,,,,,3,AndresServicio,1
76,244,C,"","","1996-04-01","",17,Consuelda,Pittocaulon,praecox,ASTERACEAE,,,,,,,,,,,null,,,,,no trae día,,,,,3,AndresServicio,1
77,245,C,"","","1996-04-01","",17,Consuelda,Pittocaulon,praecox,ASTERACEAE,,,,,,,,,,,Plantas ubicadas en la zona de las artes de Oaxaca.,,,,,no trae día,,,,,3,AndresServicio,1
82,246,"","","","1800-01-01","",1,sin dato,"","","",,,,,,,,,,,Plantas sin determinación de especie.,,,,,Sin datos,,,,,3,AndresServicio,1
83,247,"","","","1800-01-01","",1,sin dato,"","","",,,,,,,,,,,Plantas sin determinación de especie.,,,,,Sin datos,,,,,3,AndresServicio,1
84,248,"","","","1800-01-01","",1,sin dato,"","","",,,,,,,,,,,Plantas sin determinación de especie.,,,,,Sin datos,,,,,3,AndresServicio,1
85,249,C,"","","1997-04-01","",18,Coquito,Pseudobombax,ellipticum,BOMBACACEAE,,,,,,,,,,,,,,,,no trae día,,,,,3,AndresServicio,1
86,302,C,"","","1996-05-01","",19,Cuachalalate,Amphipterygium,adstringens,ANACARDIACEAE,,,,,,,,,,,,,,,,no trae día,,,,,3,AndresServicio,1
87,303,C,"",R. Medina Lemos,"1996-05-01","",20,Cuachalalate,Amphipterygium,simplicifolium,ANACARDIACEAE,,,,,,,,,,,Plantas ubicadas en la zona de bosque tropical seco.,,,,,no trae día,,,,,3,AndresServicio,1
88,314,C,registrada muerta en 1999,"","1800-01-01","",21,Mirto ,Salvia,oaxacana,LAMIACEAE,,,,,,,,,,,Plantas muertas según los reportes de la SEMARNAT.,,,,,Sin fecha,,,,,3,AndresServicio,1
89,319,C,"","","1996-09-01","",22,Acahual amarillo,Tithonia,diversifolia,ASTERACEAE,,,,,,,,,,,null,,,,,no trae día,,,,,3,AndresServicio,1
90,320,C,"",,"1996-09-01",,22,Acahual amarillo,Tithonia,diversifolia,ASTERACEAE,,,,,,,,,,,Plantas ubicadas en la zona de bosque tropical humedo.,,,,,no trae día,,,,,3,AndresServicio,1
92,321,C,"","","1997-09-01","",22,Acahual amarillo,Tithonia,diversifolia,ASTERACEAE,,,,,,,,,,,null,,,,,no trae día,,,,,3,AndresServicio,1
94,322,C,"","","1996-09-01","",22,Acahual amarillo,Tithonia,diversifolia,ASTERACEAE,,,,,,,,,,,null,,,,,no trae día,,,,,3,AndresServicio,1
95,323,C,"","","1996-09-01","",22,Acahual amarillo,Tithonia,diversifolia,ASTERACEAE,,,,,,,,,,,null,,,,,no trae día,,,,,3,AndresServicio,1
96,324,C,"","","1996-09-01","",22,Acahual amarillo,Tithonia,diversifolia,ASTERACEAE,,,,,,,,,,,Plantas ubicadas en la zona de bosque tropical humedo.,,,,,no trae día,,,,,3,AndresServicio,1
97,357,C,,,"1996-07-01",,23,Copal,Bursera,sp.,BURSERACEAE,,,,,,,,,,,Plantas sin determinación de especie.,,,,,no trae día,,,,,3,AndresServicio,1
98,358,C,,J. Rzedowski/ R. Medina Lemos,"1996-07-01","",24,Copal,Bursera,fagaroides,BURSERACEAE,,,,,,,,,,,null,,,,,no trae día,,,,,3,AndresServicio,1
99,359,C,,,"1996-07-01",,23,Copal,Bursera,sp.,BURSERACEAE,,,,,,,,,,,Plantas sin determinación de especie.,,,,,no trae día,,,,,3,AndresServicio,1
100,360,C,,,"1996-07-01",,25,Copal,Bursera,microphylla,BURSERACEAE,,,,,,,,,,,null,,,,,no trae día,,,,,3,AndresServicio,1
101,361,C,,,"1996-07-01",,25,Copal,Bursera,microphylla,BURSERACEAE,,,,,,,,,,,,,,,,no trae día,,,,,3,AndresServicio,1
102,362,C,Registrada muerta 12/04/2003,"","1996-07-01","",25,Copal,Bursera,microphylla,BURSERACEAE,,,,,,,,,,,Plantas muertas según los reportes de la SEMARNAT.,,,,,no trae día,,,,,3,AndresServicio,1
103,363,C,"","","1996-07-01","",25,Copal,Bursera,microphylla,BURSERACEAE,,,,,,,,,,,,,,,,no trae día,,,,,3,AndresServicio,1
104,364,C,"","","1996-07-01","",25,Copal,Bursera,microphylla,BURSERACEAE,,,,,,,,,,,,,,,,no trae día,,,,,3,AndresServicio,1
105,365,C,"","","1996-07-01","",25,Copal,Bursera,microphylla,BURSERACEAE,,,,,,,,,,,,,,,,no trae día,,,,,3,AndresServicio,1
106,366,C,,,"1996-07-01",,25,Copal,Bursera,microphylla,BURSERACEAE,,,,,,,,,,,,,,,,no trae día,,,,,3,AndresServicio,1
107,367,C,"",J. Rzedowski,"1997-06-01","",26,Copal,Bursera,bippinata,BURSERACEAE,,,,,,,,,,,Plantas ubicadas en campo en la zona de Jardín de Rocas.,,,,,no trae día,,,,,3,AndresServicio,1
108,368,C,Registrada como muerta en 1999,"","1997-06-01","",27,Copal rojo,Bursera,schlechtendalii,BURSERACEAE,,,,,,,,,,,Plantas muertas según los reportes de la SEMARNAT.,,,,,no trae día,,,,,3,AndresServicio,1
109,369,C,"",J. Rzedowski,"1997-06-01","",26,Copal,Bursera,bippinata,BURSERACEAE,,,,,,,,,,,null,,,,,no trae día,,,,,3,AndresServicio,1
110,478,C,"","","1997-04-01","",28,Chapistle,Pereskiopsis,rotundifolia,CACTACEAE,,,,,,,,,,,null,,,,,no trae día,,,,,3,AndresServicio,1
111,479,C,"","","1997-04-01","",28,Chapistle,Pereskiopsis,rotundifolia,CACTACEAE,,,,,,,,,,,,,,,,no trae día,,,,,3,AndresServicio,1
112,480,C,"","","1997-04-01","",28,Chapistle,Pereskiopsis,rotundifolia,CACTACEAE,,,,,,,,,,,,,,,,no trae día,,,,,3,AndresServicio,1
113,481,C,"","","1997-04-01","",28,Chapistle,Pereskiopsis,rotundifolia,CACTACEAE,,,,,,,,,,,,,,,,no trae día,,,,,3,AndresServicio,1
114,482,C,"","","1997-04-01","",28,Chapistle,Pereskiopsis,rotundifolia,CACTACEAE,,,,,,,,,,,,,,,,no trae día,,,,,3,AndresServicio,1
115,483,C,"","","1997-04-01","",28,Chapistle,Pereskiopsis,rotundifolia,CACTACEAE,,,,,,,,,,,,,,,,no trae día,,,,,3,AndresServicio,1
116,484,C,"","","1997-04-01","",28,Chapistle,Pereskiopsis,rotundifolia,CACTACEAE,,,,,,,,,,,Plantas muertas según los reportes de la SEMARNAT.,,,,,no trae día,,,,,3,AndresServicio,1
117,485,C,"",,"1997-04-01","",28,Chapistle,Pereskiopsis,rotundifolia,CACTACEAE,,,,,,,,,,,,,,,,no trae día,,,,,3,AndresServicio,1
118,486,C,"","","1997-04-01","",28,Chapistle,Pereskiopsis,rotundifolia,CACTACEAE,,,,,,,,,,,,,,,,no trae día,,,,,3,AndresServicio,1
119,487,C,"","","1997-12-22","",29,Pitahaya,Hylocereus,undatus,CACTACEAE,,,,,,,,,,,,,,,,"",,,,,3,AndresServicio,1
120,488,C,"","","1997-12-22","",29,Pitahaya,Hylocereus,undatus,CACTACEAE,,,,,,,,,,,Plantas ubicadas en el patio del huaje.,,,,,"",,,,,3,AndresServicio,1
121,489,C,"","","1997-12-22","",29,Pitahaya,Hylocereus,undatus,CACTACEAE,,,,,,,,,,,null,,,,,"",,,,,3,AndresServicio,1
122,490,C,"","","1997-12-22","",29,Pitahaya,Hylocereus,undatus,CACTACEAE,,,,,,,,,,,Plantas ubicadas en el patio del huaje.,,,,,"Solar propiedad del Sr. Norberto Robles, Barrio Grande 2da sección ",,,,,3,AndresServicio,1
123,491,C,"","","1997-12-22","",29,Pitahaya,Hylocereus,undatus,CACTACEAE,,,,,,,,,,,null,,,,,"Solar propiedad del Sr. Norberto Robles, Barrio Grande 2da sección ",,,,,3,AndresServicio,1
124,492,C,"","","1997-06-01","",30,Biznaga,Mammillaria,beneckei,CACTACEAE,,,,,,,,,,,null,,,,,no trae día ,,,,,3,AndresServicio,1
125,504,C,"","","1997-06-01","",30,Biznaga,Mammillaria,beneckei,CACTACEAE,,,,,,,,,,,null,,,,,no trae día ,,,,,3,AndresServicio,1
126,596,c,"","","1996-05-01","",31,Retama,Parkinsonia,aculeata,CAESALPINIACEAE,,,,,,,,,,,Plantas ubicadas en la zona de bosque tropical seco.,,,,,no trae día,,,,,3,AndresServicio,1
127,601,"","","","1800-01-01","",223,Maguey bacuela ,Agave,guiengola,AGAVACEAE,,,,,,,,,,,,,,,,no tiene fecha,,,,,3,AndresServicio,1
128,602,C,"","","1997-04-01","",18,Coquito,Pseudobombax,ellipticum,BOMBACACEAE,,,,,,,,,,,null,,,,,no trae día ,,,,,3,AndresServicio,1
129,603,C,"","","1997-04-01","",18,Coquito,Pseudobombax,ellipticum,BOMBACACEAE,,,,,,,,,,,null,,,,,no trae día ,,,,,3,AndresServicio,1
130,604,C,"","","1997-04-01","",18,Coquito,Pseudobombax,ellipticum,BOMBACACEAE,,,,,,,,,,,null,,,,,no trae día ,,,,,3,AndresServicio,1
131,605,C,"","","1997-04-01","",18,Coquito,Pseudobombax,ellipticum,BOMBACACEAE,,,,,,,,,,,null,,,,,no trae día ,,,,,3,AndresServicio,1
132,658,C,"","","1997-03-01","",33,Zompantle,Erythrina,americana,FABACEAE,,,,,,,,,,,null,,,,,"",,,,,3,AndresServicio,1
133,659,C,"","","1997-03-01","",33,Zompantle,Erythrina,americana,FABACEAE,,,,,,,,,,,null,,,,,"",,,,,3,AndresServicio,1
134,660,C,"","","1997-03-01","",33,Zompantle,Erythrina,americana,FABACEAE,,,,,,,,,,,null,,,,,"",,,,,3,AndresServicio,1
135,747,"","","","1800-01-01","",34,"",Sedum,confusum,CRASSULACEAE,,,,,,,,,,,null,,,,,"",,,,,3,AndresServicio,1
136,748,"","","","1800-01-01","",34,"",Sedum,confusum,CRASSULACEAE,,,,,,,,,,,null,,,,,"",,,,,3,AndresServicio,1
137,749,"","","","1800-01-01","",35,"",Sedum,quevae,CRASSULACEAE,,,,,,,,,,,null,,,,,"",,,,,3,AndresServicio,1
138,750,"","","","1800-01-01","",35,"",Sedum,quevae,CRASSULACEAE,,,,,,,,,,,null,,,,,"",,,,,3,AndresServicio,1
140,800,C,"","","1800-01-01","",36,Cedron,Aloysia,triphylla,VERBENACEAE,,,,,,,,,,,null,,,,,"",,,,,3,AndresServicio,1
141,827,C,"","","1997-04-01","",37,Cazahuate,Ipomoea,murucoides,CONVOLVULACEAE,,,,,,,,,,,null,,,,,no trae día ,,,,,3,AndresServicio,1
142,828,C,"","","1997-04-01","",38,Pajaro bobo,Ipomoea,murucoides,CONVOLVULACEAE,,,,,,,,,,,null,,,,,no trae día ,,,,,3,AndresServicio,1
143,829,C,"","","1997-04-01","",37,Cazahuate,Ipomoea,murucoides,CONVOLVULACEAE,,,,,,,,,,,null,,,,,no trae día ,,,,,3,AndresServicio,1
144,833,C,Registrada muerta 08/10/2003,"","1996-07-01","",23,Copal,Bursera,sp.,BURSERACEAE,,,,,,,,,,,Plantas muertas según los reportes de la SEMARNAT.,,,,,no trae día ,,,,,3,AndresServicio,1
145,834,C,"","","1997-02-01","",23,Copal,Bursera,sp.,BURSERACEAE,,,,,,,,,,,Plantas sin determinación de especie.,,,,,no trae día ,,,,,3,AndresServicio,1
146,835,C,"","","1997-02-01","",25,Copal,Bursera,microphylla,BURSERACEAE,,,,,,,,,,,null,,,,,no trae día ,,,,,3,AndresServicio,1
147,836,C,"","","1997-02-01","",23,Copal,Bursera,sp.,BURSERACEAE,,,,,,,,,,,Plantas sin determinación de especie.,,,,,no trae día ,,,,,3,AndresServicio,1
148,837,C,"","","1997-02-01","",23,Copal,Bursera,sp.,BURSERACEAE,,,,,,,,,,,Plantas sin determinación de especie.,,,,,no trae día ,,,,,3,AndresServicio,1
149,838,C,"","","1997-02-01","",25,Copal,Bursera,microphylla,BURSERACEAE,,,,,,,,,,,null,,,,,no trae día ,,,,,3,AndresServicio,1
151,839,C,"","","1997-02-01","",23,Copal,Bursera,sp.,BURSERACEAE,,,,,,,,,,,Plantas sin determinación de especie.,,,,,no trae día ,,,,,3,AndresServicio,1
152,840,C,"","","1997-02-01","",23,Copal,Bursera,sp.,BURSERACEAE,,,,,,,,,,,Plantas sin determinación de especie.,,,,,no trae día ,,,,,3,AndresServicio,1
153,841,C,"","","1997-02-01","",23,Copal,Bursera,sp.,BURSERACEAE,,,,,,,,,,,Plantas sin determinación de especie.,,,,,no trae día ,,,,,3,AndresServicio,1
154,842,C,"",J. Redowski/ R. Medina Lemos,"1997-06-01","",40,Copal,Bursera,glabrifolia,BURSERACEAE,,,,,,,,,,,Plantas ubicadas en la zona de bosque tropical seco.,,,,,no trae día ,,,,,3,AndresServicio,1
155,843,C,"","","1997-02-01","",23,Copal,Bursera,sp.,BURSERACEAE,,,,,,,,,,,Plantas sin determinación de especie.,,,,,no trae día ,,,,,3,AndresServicio,1
156,844,C,"","","1997-02-01","",23,Copal,Bursera,sp.,BURSERACEAE,,,,,,,,,,,Plantas sin determinación de especie.,,,,,no trae día ,,,,,3,AndresServicio,1
157,868,C,"","","1997-02-01","",41,Siempre viva,Echeveria,nodulosa,CRASSULACEAE,,,,,,,,,,,Plantas sin determinación de especie.,,,,,no trae día ,,,,,3,AndresServicio,1
158,869,C,"","","1997-02-01","",41,Siempre viva,Echeveria,nodulosa,CRASSULACEAE,,,,,,,,,,,Plantas sin determinación de especie.,,,,,no trae día ,,,,,3,AndresServicio,1
159,870,C,"","","1997-02-01","",41,Siempre viva,Echeveria,nodulosa,CRASSULACEAE,,,,,,,,,,,Plantas sin determinación de especie.,,,,,no trae día ,,,,,3,AndresServicio,1
160,871,C,"","","1997-02-01","",41,Siempre viva,Echeveria,nodulosa,CRASSULACEAE,,,,,,,,,,,Plantas sin determinación de especie.,,,,,no trae día ,,,,,3,AndresServicio,1
161,872,C,"","","1997-02-01","",41,Siempre viva,Echeveria,nodulosa,CRASSULACEAE,,,,,,,,,,,Plantas sin determinación de especie.,,,,,no trae día ,,,,,3,AndresServicio,1
162,873,C,"","","1997-02-01","",41,Siempre viva,Echeveria,nodulosa,CRASSULACEAE,,,,,,,,,,,Plantas sin determinación de especie.,,,,,no trae día ,,,,,3,AndresServicio,1
163,874,C,"","","1997-02-01","",41,Siempre viva,Echeveria,nodulosa,CRASSULACEAE,,,,,,,,,,,Plantas sin determinación de especie.,,,,,no trae día ,,,,,3,AndresServicio,1
164,875,C,"","","1997-02-01","",41,Siempre viva,Echeveria,nodulosa,CRASSULACEAE,,,,,,,,,,,Plantas sin determinación de especie.,,,,,no trae día ,,,,,3,AndresServicio,1
165,896,C,"","","1997-02-01","",42,Siempre viva,Echeveria,montana,CRASSULACEAE,,,,,,,,,,,null,,,,,no trae día ,,,,,3,AndresServicio,1
